,A,B,C,D
2000-01-01,-0.37821113366671233,0.21211161271323573,0.4843967612323208,-0.1311308406313023
2000-01-02,-1.5702346680922123,-0.5076298802015797,0.575045764180871,0.21470832073543863
2000-01-03,-1.7660340046397998,-0.25332647004500347,-0.0672907310924793,0.5872816119390172
2000-01-04,-1.5028180136678384,-0.07388073033214734,-0.3686090326238141,1.6994489865460545
2000-01-05,-1.8732358129889892,-0.4311213938443078,0.49013607939275433,1.2588909944536881
2000-01-06,-1.6177438752564024,0.543563542313119,-1.588267371404263,3.357298112689196
2000-01-07,-0.10470631047160417,2.477829169453809,0.008483503840687856,3.516175418928451
2000-01-08,-0.9111906039125334,3.2084798563363766,-0.5786454944130178,4.338653969134002
2000-01-09,1.143833384148821,2.2387453037170655,-2.306694045584749,4.60152470415081
2000-01-10,-0.5766964594936994,2.1026651054658103,-1.8993295997967736,4.660273820527401
2000-01-11,-0.44335705520822766,2.206536520736409,-1.8214015502728256,4.784560047617886
2000-01-12,0.005253263992893886,2.83534579020585,-2.393514965433929,4.271212081045224
2000-01-13,-1.4062497085536305,3.1849740929054624,-1.6358591466262538,4.9215174089880485
2000-01-14,-1.8187323330876435,3.233310443301337,-2.2505235592147415,5.376995362609576
2000-01-15,-2.6982871362763294,1.7544175582060944,-1.9562553042952293,4.445905099825329
2000-01-16,-1.4692687012305703,1.9799159503911588,-3.0575717915407017,4.524891878375677
2000-01-17,-2.5671330157869843,1.3791506456873073,-2.2604424434733073,4.042229556507142
2000-01-18,-1.5558144991008562,1.236400546157514,-2.7084114266371926,3.208144570773833
2000-01-19,-1.1868447663996224,1.1637755832063301,-2.0567612248416065,4.521048355449461
2000-01-20,-0.012562076533920052,3.0346242891611546,-3.84199353272078,4.508505312817597
2000-01-21,0.4910177276021107,3.5936853851801693,-5.22997113537607,3.9788752817132544
2000-01-22,-0.6992845370885065,3.332389370854122,-4.779845540222452,3.487604020515436
2000-01-23,-0.6943752217120344,2.8297112434100877,-3.8628060463188603,3.560902237721839
2000-01-24,-0.5824558024218468,3.102835621091898,-3.9051825199714605,4.469970027585949
2000-01-25,-1.0196934150117862,2.11667416060722,-4.477346177120463,2.212836654706358
2000-01-26,-1.0793521415379146,1.6506764879739828,-6.018913652331369,3.8480250935435167
2000-01-27,-0.91120412044768,3.3939479579636505,-5.2833752587131615,4.133613208918356
2000-01-28,-0.8518983106575205,4.802575067405869,-4.735111566489208,3.455495443232195
2000-01-29,-2.4952470862794276,5.344198819100858,-5.258952569480524,1.8757151896332822
2000-01-30,-0.004950385734398655,6.328044544904632,-3.562806019806939,2.669494227127813
2000-01-31,-2.1523440634648896,6.1385651077311145,-4.253603495101249,1.4154353379074271
2000-02-01,-1.4672194938511893,5.677872465826003,-3.848798709995445,0.7968619718704553
2000-02-02,-1.1932505638029838,5.6733975959289,-3.68279340847599,1.3556543225589628
2000-02-03,-0.5327710186617629,6.333163404296582,-3.489365176352957,-0.7955456946909283
2000-02-04,-2.0155457765158955,6.275315657239047,-5.172949559146257,0.16052842593961403
2000-02-05,-0.9401390721283089,5.690212262194175,-5.723973512458552,1.9664005843030854
2000-02-06,0.611347773662386,3.261906278973735,-6.290246539432574,2.953398022113794
2000-02-07,-0.8862521751617733,3.0824047608597103,-5.288039870711573,0.48886902077096384
2000-02-08,-0.43982873719618365,5.179023029622905,-4.615123964594689,1.1965107274565425
2000-02-09,-0.2548577522035851,4.7614216579511455,-2.611966003056381,0.7167987567937139
2000-02-10,-1.8900011080349037,5.687654637192644,-1.2249362617368296,0.9393348675152537
2000-02-11,-2.2688725597918333,5.182869628936867,-0.8037726460254081,2.719916182539663
2000-02-12,-1.8923038528221792,3.6628555504553884,-1.6854021011732652,2.5730795464129543
2000-02-13,-2.9859507396177873,2.614302488176361,-0.19851558914030987,2.177209264747561
2000-02-14,-4.647828344819795,2.3087697746990656,0.8056428824126518,2.0289368192750428
2000-02-15,-3.8219831240126583,2.909997471164077,2.11320143159379,2.9384344797402475
2000-02-16,-5.116504998937562,1.715312270623574,2.0577299959922986,3.426800801184626
2000-02-17,-3.417598142600604,3.760831204784086,2.4971267462876954,2.1175436045160945
2000-02-18,-4.779792792018423,2.191561122066627,3.433854959977388,2.068298569061016
2000-02-19,-2.5976585245401265,1.9037207203175337,3.2189782631088475,-0.8161370595256114
2000-02-20,-2.440350909700666,0.7918758452534993,1.9104102921566186,1.2504037617941561
2000-02-21,-2.7770880489936967,1.6509083382471545,0.8468596589120239,1.8613306185986365
2000-02-22,-2.9467868365388155,1.5726082961295902,-0.9006084360781714,3.06446308272628
2000-02-23,-2.258370221000715,1.0243690914657635,-0.05979805515418224,1.2723269557856363
2000-02-24,-2.575585272287987,0.7895810710042854,1.1573149821066298,1.6082994845354555
2000-02-25,-3.0468434730098095,0.08444128643421478,1.8918849909022701,1.7463350227854257
2000-02-26,-3.176589118678084,0.880433326408277,2.311266652761571,3.706680855878977
2000-02-27,-4.617948175280638,1.8441024994205888,2.3848891388914706,3.157678519167991
2000-02-28,-4.324308896840111,1.5744335642034561,2.8919785812695165,2.3040456020257327
2000-02-29,-4.476109258274371,1.4675613454561989,1.5646904546143612,1.895900240314821
2000-03-01,-4.683548917054162,1.902892969005227,1.347840863009613,2.3741453578499603
2000-03-02,-4.824772466841201,2.6672343910104357,0.4914607639279792,1.95678836817556
2000-03-03,-3.9791983838672538,1.056695346934725,1.0059216937846807,1.4832085279103049
2000-03-04,-3.8017431523171834,-1.0970680510660464,1.4017328005465974,1.5926497055252011
2000-03-05,-4.139004150786136,-0.8424109315313086,1.2966202064022798,0.9347640870475189
2000-03-06,-5.099730793218936,-0.41526712421496503,1.5074963115471303,0.20525155936825734
2000-03-07,-5.160837232631899,-0.9165147200090422,1.8879498229522547,-0.7390986062562563
2000-03-08,-5.929575510801048,-2.331550054356047,1.8537174699352015,0.9669563357684952
2000-03-09,-5.777871850366217,-1.577822783819503,3.4570436895683585,0.3885320214413782
2000-03-10,-6.431824028697842,-0.3643341768774646,2.305481527108002,1.843045175814765
2000-03-11,-6.179013051271354,1.1876612266871696,2.7065002090110255,1.767343256398421
2000-03-12,-6.097366817546994,0.444447211293027,3.6562153126958585,1.6520517634259015
2000-03-13,-4.31337842806442,0.30179730097920754,6.102694396912247,0.3886497461594709
2000-03-14,-6.2390984037981765,-0.3916270839427004,6.447025178368206,-0.15166067497255775
2000-03-15,-7.348773261361853,-0.22481367717536505,7.0587464953209595,-0.5135347864642748
2000-03-16,-7.580277955841416,2.0290513638781045,7.936199429237796,0.5432154514095779
2000-03-17,-8.325779853070946,3.045815158875704,9.606497793799681,0.1096569700511974
2000-03-18,-9.475554972571263,3.871655037541195,10.491937278777566,0.9854256682048947
2000-03-19,-9.617502902990665,3.493209837461145,11.91090481572893,2.040470280658366
2000-03-20,-9.107821400282601,3.4702370886860407,13.258001266942655,1.9748523281590515
2000-03-21,-8.527508030641991,2.625372907031495,15.228490711828707,1.8097960984411934
2000-03-22,-7.22876153314674,1.8016555531289797,15.964906618893641,2.4917076525652204
2000-03-23,-9.54602819281309,0.7169606696262956,14.924918067559052,4.114785899137672
2000-03-24,-11.727384455162728,-0.19370240593697197,15.394783018017469,2.4371371062514133
2000-03-25,-11.293322396195046,0.43897002738324487,13.896037696716856,3.9800784429850387
2000-03-26,-12.436948373841153,0.9750859806484898,13.46016914751098,4.903957430597496
2000-03-27,-11.53519381652866,1.5655226103404138,14.40387406650537,4.975746858594944
2000-03-28,-11.255394016322626,1.253710749705104,13.642719330770925,5.0328044061627
2000-03-29,-11.49262142295104,3.6115142511546425,13.239138337040224,4.888899716740286
2000-03-30,-10.742102399652358,4.366960735823122,12.567618773274383,3.8736509201297475
2000-03-31,-10.673312173803946,3.3189708037318555,12.317611288232706,1.7690008818069027
2000-04-01,-10.533148995462122,3.6325703920101837,12.906423014079033,1.420774840697813
